"Organizace","P1.vysledky","P1.body","P2.bonifikace","P2.excelent","P3.body","Body2012","Celkem","Soubor","URL"
"Accendo - Centrum pro vÄ›du a vĂ˝zkum, o.p.s.","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_ico_28614950.xlsx","http://www.isvav.cz/h14/export/H14_ico_28614950.xlsx"
"Agritec Plant Research s.r.o.","49,396","936,393","0,000","215,834","338,762","673,265","2Â 164,254","H14_ico_26784246.xlsx","http://www.isvav.cz/h14/export/H14_ico_26784246.xlsx"
"Agrotest fyto, s.r.o.","126,090","1Â 897,631","0,000","371,454","440,278","1Â 074,414","3Â 783,777","H14_ico_25328859.xlsx","http://www.isvav.cz/h14/export/H14_ico_25328859.xlsx"
"AgrovĂ˝zkum RapotĂ­n s.r.o.","101,277","1Â 005,475","0,000","242,829","150,426","1Â 131,202","2Â 529,932","H14_ico_26788462.xlsx","http://www.isvav.cz/h14/export/H14_ico_26788462.xlsx"
"Akademie mĂşzickĂ˝ch umÄ›nĂ­ v Praze / DivadelnĂ­ fakulta","158,543","3Â 325,887","0,000","277,292","0,000","0,000","3Â 603,179","H14_orjk_51210.xlsx","http://www.isvav.cz/h14/export/H14_orjk_51210.xlsx"
"Akademie mĂşzickĂ˝ch umÄ›nĂ­ v Praze / EdiÄŤnĂ­ centrum AMU","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_51650.xlsx","http://www.isvav.cz/h14/export/H14_orjk_51650.xlsx"
"Akademie mĂşzickĂ˝ch umÄ›nĂ­ v Praze / FilmovĂˇ a televiznĂ­ fakulta","12,119","336,210","0,000","39,714","179,933","45,981","601,838","H14_orjk_51310.xlsx","http://www.isvav.cz/h14/export/H14_orjk_51310.xlsx"
"Akademie mĂşzickĂ˝ch umÄ›nĂ­ v Praze / HudebnĂ­ fakulta","51,082","1Â 009,139","0,000","231,083","205,251","451,806","1Â 897,279","H14_orjk_51110.xlsx","http://www.isvav.cz/h14/export/H14_orjk_51110.xlsx"
"Akademie mĂşzickĂ˝ch umÄ›nĂ­ v Praze / Katedra cizĂ­ch jazykĹŻ AMU","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_51610.xlsx","http://www.isvav.cz/h14/export/H14_orjk_51610.xlsx"
"Akademie mĂşzickĂ˝ch umÄ›nĂ­ v Praze / Katedra tÄ›lesnĂ© vĂ˝chovy AMU","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_51620.xlsx","http://www.isvav.cz/h14/export/H14_orjk_51620.xlsx"
"Akademie mĂşzickĂ˝ch umÄ›nĂ­ v Praze / Knihovna AMU","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_51630.xlsx","http://www.isvav.cz/h14/export/H14_orjk_51630.xlsx"
"Akademie mĂşzickĂ˝ch umÄ›nĂ­ v Praze / (nerozliĹˇenĂˇ souÄŤĂˇst)","0,000","0,000","0,000","4,432","0,000","0,000","4,432","H14_ico_61384984_.xlsx","http://www.isvav.cz/h14/export/H14_ico_61384984_.xlsx"
"Akademie mĂşzickĂ˝ch umÄ›nĂ­ v Praze / PoÄŤĂ­taÄŤovĂ© centrum AMU","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_51640.xlsx","http://www.isvav.cz/h14/export/H14_orjk_51640.xlsx"
"Akademie mĂşzickĂ˝ch umÄ›nĂ­ v Praze / RektorĂˇt AMU - vĂ˝konnĂ˝ a sprĂˇvnĂ­ Ăştvar rektora a kvestora","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_51810.xlsx","http://www.isvav.cz/h14/export/H14_orjk_51810.xlsx"
"Akademie, o.p.s.","0,000","0,000","0,000","0,000","44,233","0,000","44,233","H14_ico_63493713.xlsx","http://www.isvav.cz/h14/export/H14_ico_63493713.xlsx"
"Akademie vĂ˝tvarnĂ˝ch umÄ›nĂ­ v Praze / (nerozliĹˇenĂˇ souÄŤĂˇst)","0,000","0,000","0,000","6,262","109,470","0,000","115,732","H14_ico_60461446_.xlsx","http://www.isvav.cz/h14/export/H14_ico_60461446_.xlsx"
"Akademie vĂ˝tvarnĂ˝ch umÄ›nĂ­ v Praze / RektorĂˇt","27,505","857,233","0,000","86,450","42,926","0,000","986,609","H14_orjk_52810.xlsx","http://www.isvav.cz/h14/export/H14_orjk_52810.xlsx"
